date,staff_name,customer_name,area,service_plan,revenue,contracts,responses
2026-05-01,スタッフA,サンプル企業A,エリアA,ライトプラン,120000,1,8
2026-05-02,スタッフB,サンプル企業B,エリアB,スタンダードプラン,250000,2,15
2026-05-03,スタッフC,サンプル企業C,エリアC,ライトプラン,100000,1,6
2026-05-04,スタッフA,サンプル企業D,エリアA,プレミアムプラン,400000,3,28
2026-05-05,スタッフB,サンプル企業E,エリアD,スタンダードプラン,220000,2,12
2026-05-06,スタッフC,サンプル企業F,エリアE,ライトプラン,90000,1,5
2026-05-07,スタッフA,サンプル企業G,エリアB,スタンダードプラン,260000,2,16
2026-05-08,スタッフB,サンプル企業H,エリアF,プレミアムプラン,420000,3,30
2026-05-09,スタッフC,サンプル企業I,エリアG,ライトプラン,110000,1,7
2026-05-10,スタッフA,サンプル企業J,エリアA,プレミアムプラン,380000,3,25